8.9.2022. 23:10:58	This log contains information about the import schema operation into project 'AdminDB' on computer 'CEKI' by user 'patri'.
8.9.2022. 23:10:59	Import of database schema has started.
8.9.2022. 23:11:03	Gathering database credentials
8.9.2022. 23:11:03	Gathering database options
8.9.2022. 23:11:03	Gathering generic database scoped configuration option
8.9.2022. 23:11:03	Gathering users
8.9.2022. 23:11:03	Gathering roles
8.9.2022. 23:11:03	Gathering application roles
8.9.2022. 23:11:03	Gathering role memberships
8.9.2022. 23:11:03	Gathering filegroups
8.9.2022. 23:11:03	Gathering full-text catalogs
8.9.2022. 23:11:03	Gathering assemblies
8.9.2022. 23:11:03	Gathering certificates
8.9.2022. 23:11:03	Gathering asymmetric keys
8.9.2022. 23:11:03	Gathering symmetric keys
8.9.2022. 23:11:03	Gathering encrypted symmetric keys
8.9.2022. 23:11:03	Gathering schemas
8.9.2022. 23:11:03	Gathering XML schema collections
8.9.2022. 23:11:03	Gathering user-defined data types
8.9.2022. 23:11:03	Gathering user-defined types
8.9.2022. 23:11:03	Gathering table types
8.9.2022. 23:11:03	Gathering unique keys for table types
8.9.2022. 23:11:03	Gathering primary keys for table types
8.9.2022. 23:11:03	Gathering indexes for table types
8.9.2022. 23:11:03	Gathering check constraints for table types
8.9.2022. 23:11:03	Gathering default constraints for table types
8.9.2022. 23:11:03	Gathering partition functions
8.9.2022. 23:11:03	Gathering partition schemes
8.9.2022. 23:11:03	Gathering functions
8.9.2022. 23:11:03	Gathering encrypted functions
8.9.2022. 23:11:03	Gathering aggregates
8.9.2022. 23:11:03	Gathering procedures
8.9.2022. 23:11:03	Gathering encrypted procedures
8.9.2022. 23:11:03	Gathering tables
8.9.2022. 23:11:03	Gathering primary keys
8.9.2022. 23:11:03	Gathering unique constraints
8.9.2022. 23:11:03	Gathering foreign keys
8.9.2022. 23:11:03	Gathering default constraints
8.9.2022. 23:11:03	Gathering check constraints
8.9.2022. 23:11:03	Gathering views
8.9.2022. 23:11:03	Gathering encrypted views
8.9.2022. 23:11:03	Gathering indexes
8.9.2022. 23:11:03	Gathering statistics
8.9.2022. 23:11:03	Gathering full-text index stoplists
8.9.2022. 23:11:03	Gathering search property lists
8.9.2022. 23:11:03	Gathering search properties
8.9.2022. 23:11:03	Gathering full-text indexes
8.9.2022. 23:11:03	Gathering column store indexes
8.9.2022. 23:11:03	Gathering spatial indexes
8.9.2022. 23:11:03	Gathering XML indexes
8.9.2022. 23:11:03	Gathering Selective XML indexes
8.9.2022. 23:11:03	Gathering encrypted triggers
8.9.2022. 23:11:03	Gathering triggers
8.9.2022. 23:11:03	Gathering encrypted and clr ddl triggers
8.9.2022. 23:11:03	Gathering ddl triggers
8.9.2022. 23:11:03	Creating edge constraints
8.9.2022. 23:11:03	Gathering synonyms
8.9.2022. 23:11:03	Gathering defaults
8.9.2022. 23:11:03	Gathering data constraint uddt bindings
8.9.2022. 23:11:03	Gathering rules
8.9.2022. 23:11:03	Gathering data constraint uddt bindings
8.9.2022. 23:11:03	Gathering message types
8.9.2022. 23:11:03	Gathering queues
8.9.2022. 23:11:03	Gathering contracts
8.9.2022. 23:11:03	Gathering services
8.9.2022. 23:11:03	Gathering event notifications
8.9.2022. 23:11:03	Gathering remote service bindings
8.9.2022. 23:11:03	Gathering broker priorities
8.9.2022. 23:11:03	Gathering signatures
8.9.2022. 23:11:03	Gathering data compression options
8.9.2022. 23:11:03	Gathering sequence types
8.9.2022. 23:11:03	Gathering security policies
8.9.2022. 23:11:03	Gather column encryption keys
8.9.2022. 23:11:03	Gathering column master keys
8.9.2022. 23:11:03	Gathering external data sources
8.9.2022. 23:11:03	Gathering external file formats
8.9.2022. 23:11:03	Gathering external tables
8.9.2022. 23:11:03	Gathering extended properties
8.9.2022. 23:11:03	Gathering assemblies
8.9.2022. 23:11:03	Gathering credentials
8.9.2022. 23:11:03	Gathering logins
8.9.2022. 23:11:03	Gathering server audits
8.9.2022. 23:11:03	Scanning project for duplicate elements
8.9.2022. 23:11:03	Finished duplicate element processing
8.9.2022. 23:11:04	Finished importing database.
8.9.2022. 23:11:04	A summary of the import was saved to the following location: C:\Users\patri\Documents\Mentoriranje\AppSolution\DBProjects\AdminDB\Import Schema Logs\AdminDB_20220908091058.log
8.9.2022. 23:11:04	Click Finish to continue...
